Date,Region,Product,Salesperson,Units_Sold,Unit_Price,Category,Revenue,Cost,Profit,Year,Month,Month_Number
15/02/2024,South,Camera,Bob,5,173,Electronics,865,699.7693575,165.23,2024,Feb,2
24/08/2024,East,Laptop,Grace,1,868,Electronics,868,624.4073738,243.59,2024,Aug,8
10/07/2024,West,Smartwatch,Alice,1,879,Accessories,879,735.425048,143.57,2024,Jul,7
15/04/2024,North,Monitor,Grace,1,880,Office,880,553.3731274,326.63,2024,Apr,4
12/11/2024,North,Mobile,Hannah,1,887,Electronics,887,646.2813744,240.72,2024,Nov,11
4/05/2024,East,Printer,Frank,1,889,Office,889,673.6710956,215.33,2024,May,5
12/07/2024,West,Mobile,Alice,2,445,Electronics,890,540.4258992,349.57,2024,Jul,7
5/11/2024,North,Tablet,Hannah,6,152,Electronics,912,638.9584043,273.04,2024,Nov,11
9/04/2024,North,Smartwatch,Alice,1,913,Accessories,913,643.0700355,269.93,2024,Apr,4
10/03/2024,East,Laptop,Frank,2,462,Electronics,924,749.8383276,174.16,2024,Mar,3
25/04/2024,West,Laptop,Grace,3,309,Electronics,927,631.5522328,295.45,2024,Apr,4
6/05/2024,South,Camera,Frank,5,186,Electronics,930,832.9147731,97.09,2024,May,5
15/01/2024,West,Smartwatch,Grace,2,470,Accessories,940,802.5688634,137.43,2024,Jan,1
14/12/2024,East,Smartwatch,Hannah,1,944,Accessories,944,809.9937185,134.01,2024,Dec,12
5/01/2024,North,Laptop,Charlie,1,952,Electronics,952,720.2836142,231.72,2024,Jan,1
22/04/2024,East,Tablet,Grace,6,159,Electronics,954,680.836137,273.16,2024,Apr,4
10/05/2024,East,Mobile,Bob,3,326,Electronics,978,866.0502816,111.95,2024,May,5
13/04/2024,South,Mobile,Grace,4,248,Electronics,992,645.3633584,346.64,2024,Apr,4
19/11/2024,West,Printer,,5,199,Office,995,719.5597117,275.44,2024,Nov,11
13/01/2024,North,Laptop,Bob,6,166,Electronics,996,807.8815482,188.12,2024,Jan,1
25/07/2024,South,Printer,Bob,5,200,Office,1000,725.9491916,274.05,2024,Jul,7
13/01/2024,South,Tablet,Frank,1,1041,Electronics,1041,750.4242993,290.58,2024,Jan,1
24/09/2024,North,Mobile,Alice,6,174,Electronics,1044,882.3095773,161.69,2024,Sep,9
11/10/2024,South,Tablet,Grace,5,209,Electronics,1045,928.3669149,116.63,2024,Oct,10
14/10/2024,East,Printer,Eva,1,1049,Office,1049,733.5505689,315.45,2024,Oct,10
9/12/2024,North,Monitor,Hannah,2,533,Office,1066,737.1449639,328.86,2024,Dec,12
18/08/2024,South,Headphones,Frank,1,1067,Accessories,1067,798.8621688,268.14,2024,Aug,8
16/09/2024,South,Headphones,Bob,8,134,Accessories,1072,844.0827957,227.92,2024,Sep,9
1/04/2024,South,Camera,Eva,2,548,Electronics,1096,720.1133952,375.89,2024,Apr,4
30/10/2024,North,Smartwatch,Eva,6,183,Accessories,1098,900.0737994,197.93,2024,Oct,10
31/05/2024,North,Printer,Frank,2,549,Office,1098,847.4725846,250.53,2024,May,5
2/03/2024,South,Monitor,Eva,4,275,Office,1100,784.962638,315.04,2024,Mar,3
21/06/2024,East,Smartwatch,Alice,11,100,Accessories,1100,852.2358341,247.76,2024,Jun,6
13/09/2024,North,Laptop,Bob,1,1104,Electronics,1104,922.4634978,181.54,2024,Sep,9
27/10/2024,North,Headphones,David,3,369,Accessories,1107,714.8922524,392.11,2024,Oct,10
23/06/2024,South,Printer,Charlie,1,1114,Office,1114,941.8132131,172.19,2024,Jun,6
27/07/2024,East,Smartwatch,Grace,10,113,Accessories,1130,802.3168937,327.68,2024,Jul,7
16/11/2024,West,Printer,Hannah,1,1131,Office,1131,679.0863522,451.91,2024,Nov,11
15/09/2024,South,,Hannah,4,283,Electronics,1132,842.0371257,289.96,2024,Sep,9
30/10/2024,South,Tablet,Hannah,3,383,Electronics,1149,1008.758035,140.24,2024,Oct,10
3/02/2024,South,Headphones,Charlie,10,118,Accessories,1180,916.8328051,263.17,2024,Feb,2
1/07/2024,South,Tablet,Alice,1,1181,Electronics,1181,834.933829,346.07,2024,Jul,7
29/09/2024,East,Headphones,Hannah,4,297,Accessories,1188,754.7291156,433.27,2024,Sep,9
7/01/2024,,,Grace,11,108,Electronics,1188,1042.054593,145.95,2024,Jan,1
22/07/2024,West,Tablet,Frank,1,1196,Electronics,1196,1002.640577,193.36,2024,Jul,7
25/12/2024,East,Printer,Frank,1,1209,Office,1209,969.756236,239.24,2024,Dec,12
11/06/2024,South,Laptop,Grace,1,1216,Electronics,1216,873.681564,342.32,2024,Jun,6
7/10/2024,North,Printer,Grace,2,609,Office,1218,962.5722738,255.43,2024,Oct,10
8/09/2024,East,Monitor,Hannah,10,122,Office,1220,761.678804,458.32,2024,Sep,9
31/05/2024,West,Laptop,Eva,10,122,Electronics,1220,807.8764384,412.12,2024,May,5
2/06/2024,East,Headphones,Eva,5,244,Accessories,1220,957.1383796,262.86,2024,Jun,6
8/06/2024,East,Camera,Hannah,3,408,Electronics,1224,1088.950612,135.05,2024,Jun,6
20/02/2024,North,Headphones,Bob,6,204,Accessories,1224,1083.962511,140.04,2024,Feb,2
27/06/2024,North,Tablet,Frank,3,410,Electronics,1230,1008.381139,221.62,2024,Jun,6
11/07/2024,East,Mobile,Hannah,2,619,Electronics,1238,993.9052645,244.09,2024,Jul,7
9/10/2024,North,Monitor,Hannah,2,620,Office,1240,1040.331828,199.67,2024,Oct,10
8/11/2024,South,Camera,Frank,4,313,Electronics,1252,819.1759293,432.82,2024,Nov,11
16/12/2024,West,Camera,Charlie,1,1253,Electronics,1253,903.0344399,349.97,2024,Dec,12
15/03/2024,South,Headphones,Hannah,1,1253,Accessories,1253,904.766857,348.23,2024,Mar,3
10/11/2024,West,Tablet,Hannah,3,420,Electronics,1260,904.8263137,355.17,2024,Nov,11
9/06/2024,North,Mobile,Frank,3,423,Electronics,1269,1082.445328,186.55,2024,Jun,6
22/10/2024,West,Printer,Eva,1,1271,Office,1271,1030.634565,240.37,2024,Oct,10
13/09/2024,North,Smartwatch,Frank,1,1274,Accessories,1274,1101.736705,172.26,2024,Sep,9
13/01/2024,East,Tablet,Alice,1,1275,Electronics,1275,946.5938111,328.41,2024,Jan,1
13/08/2024,West,Printer,Grace,2,639,Office,1278,1101.824021,176.18,2024,Aug,8
26/09/2024,West,Tablet,Charlie,7,183,Electronics,1281,939.1480506,341.85,2024,Sep,9
9/05/2024,East,Printer,Eva,1,1286,Office,1286,900.9176273,385.08,2024,May,5
20/06/2024,North,Smartwatch,Alice,6,217,Accessories,1302,844.6214191,457.38,2024,Jun,6
23/09/2024,East,Tablet,Grace,1,1306,Electronics,1306,818.7825688,487.22,2024,Sep,9
19/12/2024,North,Mobile,Grace,12,109,Electronics,1308,1154.334095,153.67,2024,Dec,12
15/09/2024,West,Monitor,Charlie,4,328,Office,1312,947.3173769,364.68,2024,Sep,9
28/04/2024,South,Laptop,Bob,2,657,Electronics,1314,1055.109165,258.89,2024,Apr,4
24/12/2024,East,Headphones,Charlie,12,110,Accessories,1320,1059.453618,260.55,2024,Dec,12
16/02/2024,North,Laptop,Grace,11,121,Electronics,1331,899.7740729,431.23,2024,Feb,2
15/03/2024,North,Laptop,Eva,4,338,Electronics,1352,1101.807101,250.19,2024,Mar,3
3/01/2024,West,Mobile,Bob,1,1352,Electronics,1352,946.3390879,405.66,2024,Jan,1
7/05/2024,South,Headphones,Frank,3,455,Accessories,1365,875.8136971,489.19,2024,May,5
11/10/2024,South,Smartwatch,Alice,3,456,Accessories,1368,882.4149303,485.59,2024,Oct,10
3/05/2024,East,Laptop,David,5,276,Electronics,1380,1061.402932,318.60,2024,May,5
19/10/2024,South,Mobile,Grace,2,691,Electronics,1382,967.0043085,415.00,2024,Oct,10
4/12/2024,East,Camera,Bob,6,232,Electronics,1392,1069.830516,322.17,2024,Dec,12
3/03/2024,East,Headphones,Frank,2,696,Accessories,1392,1136.442677,255.56,2024,Mar,3
29/02/2024,North,Smartwatch,Frank,6,232,Accessories,1392,1116.980124,275.02,2024,Feb,2
9/09/2024,South,Monitor,Frank,1,1393,Office,1393,957.1249804,435.88,2024,Sep,9
1/07/2024,West,Mobile,Grace,1,1393,Electronics,1393,1193.88009,199.12,2024,Jul,7
3/09/2024,South,Camera,Eva,1,1404,Electronics,1404,1134.758093,269.24,2024,Sep,9
23/08/2024,South,Smartwatch,Hannah,2,703,Accessories,1406,1074.448088,331.55,2024,Aug,8
26/04/2024,North,Monitor,Hannah,10,142,Office,1420,1188.274209,231.73,2024,Apr,4
4/03/2024,Easst,Laptop,Charlie,1,1429,Electronics,1429,887.4560024,541.54,2024,Mar,3
30/03/2024,East,Printer,Charlie,1,1430,Office,1430,953.4755415,476.52,2024,Mar,3
8/02/2024,South,Tablet,Hannah,1,1433,Electronics,1433,1230.281306,202.72,2024,Feb,2
5/02/2024,South,Tablet,Frank,3,479,Electronics,1437,1025.0012,412.00,2024,Feb,2
9/06/2024,East,Laptop,Hannah,1,1440,Electronics,1440,1080.800804,359.20,2024,Jun,6
30/12/2024,North,Smartwatch,Bob,2,722,Accessories,1444,1298.861469,145.14,2024,Dec,12
27/04/2024,North,Monitor,Frank,3,484,Office,1452,1067.310002,384.69,2024,Apr,4
13/11/2024,East,Smartwatch,Eva,2,727,Accessories,1454,943.4448659,510.56,2024,Nov,11
16/05/2024,North,Monitor,Grace,5,291,Office,1455,1088.322035,366.68,2024,May,5
6/05/2024,East,Laptop,Eva,2,729,Electronics,1458,1215.818125,242.18,2024,May,5
1/08/2024,North,Printer,Alice,2,729,Office,1458,1291.783113,166.22,2024,Aug,8
22/12/2024,South,Tablet,Charlie,10,146,Electronics,1460,1179.12889,280.87,2024,Dec,12
10/10/2024,East,Headphones,Hannah,2,734,Accessories,1468,990.1594599,477.84,2024,Oct,10
13/07/2024,,Laptop,Eva,5,295,Electronics,1475,1113.715131,361.28,2024,Jul,7
23/01/2024,South,Headphones,Charlie,2,738,Accessories,1476,1190.347377,285.65,2024,Jan,1
1/11/2024,West,Camera,Charlie,1,1476,Electronics,1476,1233.022707,242.98,2024,Nov,11
6/07/2024,West,Mobile,Eva,10,148,Electronics,1480,1171.297067,308.70,2024,Jul,7
17/12/2024,West,Smartwatch,Frank,4,370,Accessories,1480,973.4796086,506.52,2024,Dec,12
6/06/2024,East,Headphones,Alice,4,371,Accessories,1484,1145.496607,338.50,2024,Jun,6
20/08/2024,North,Laptop,Hannah,1,1504,Electronics,1504,1297.096839,206.90,2024,Aug,8
5/07/2024,West,Laptop,Hannah,7,215,Electronics,1505,1109.261197,395.74,2024,Jul,7
29/12/2024,South,Mobile,David,5,301,Electronics,1505,936.9567688,568.04,2024,Dec,12
30/12/2024,North,Printer,David,5,302,Office,1510,960.3658689,549.63,2024,Dec,12
5/06/2024,South,Laptop,Bob,1,1516,Electronics,1516,963.7701728,552.23,2024,Jun,6
12/01/2024,West,Laptop,David,2,761,Electronics,1522,1314.181939,207.82,2024,Jan,1
27/06/2024,South,Camera,David,4,383,Electronics,1532,1304.810652,227.19,2024,Jun,6
28/02/2024,West,Mobile,Frank,6,256,Electronics,1536,1221.752011,314.25,2024,Feb,2
11/02/2024,North,Monitor,Frank,1,1537,Office,1537,1196.522332,340.48,2024,Feb,2
16/03/2024,East,Monitor,Charlie,1,1538,Office,1538,1339.540321,198.46,2024,Mar,3
14/09/2024,North,Smartwatch,Grace,1,1551,Accessories,1551,1316.605655,234.39,2024,Sep,9
11/05/2024,West,Smartwatch,Alice,4,389,Accessories,1556,1215.226931,340.77,2024,May,5
6/02/2024,East,Smartwatch,Alice,10,156,Accessories,1560,984.1626955,575.84,2024,Feb,2
13/04/2024,North,Headphones,Frank,1,1576,Accessories,1576,1055.722004,520.28,2024,Apr,4
9/07/2024,West,Printer,Frank,2,789,Office,1578,1376.564897,201.44,2024,Jul,7
29/03/2024,North,Printer,Bob,1,1590,Office,1590,1408.616452,181.38,2024,Mar,3
16/07/2024,South,Headphones,Alice,13,123,Accessories,1599,1005.770089,593.23,2024,Jul,7
5/12/2024,East,Printer,Hannah,7,229,Office,1603,1435.227275,167.77,2024,Dec,12
24/09/2024,South,Camera,,5,322,Electronics,1610,1144.400914,465.60,2024,Sep,9
3/12/2024,East,Laptop,David,14,115,Electronics,1610,1210.438314,399.56,2024,Dec,12
17/08/2024,East,Printer,Alice,5,323,Office,1615,1055.595284,559.40,2024,Aug,8
29/12/2024,North,Monitor,Hannah,1,1624,Office,1624,1243.241918,380.76,2024,Dec,12
21/05/2024,East,Headphones,Alice,2,814,Accessories,1628,1051.120178,576.88,2024,May,5
1/10/2024,North,Printer,Frank,2,815,Office,1630,1284.746261,345.25,2024,Oct,10
30/09/2024,South,Printer,Hannah,16,102,Office,1632,1211.075442,420.92,2024,Sep,9
20/08/2024,South,Smartwatch,Eva,2,817,Accessories,1634,1248.229834,385.77,2024,Aug,8
13/08/2024,East,Printer,Alice,1,1639,Office,1639,1373.221498,265.78,2024,Aug,8
24/03/2024,South,Camera,David,1,1645,Electronics,1645,1147.009541,497.99,2024,Mar,3
30/01/2024,East,Monitor,Hannah,1,1654,Office,1654,1090.018848,563.98,2024,Jan,1
10/08/2024,West,Monitor,Bob,5,331,Office,1655,1225.496517,429.50,2024,Aug,8
30/09/2024,North,Tablet,Eva,9,185,Electronics,1665,1170.090492,494.91,2024,Sep,9
14/01/2024,East,Headphones,Alice,11,152,Accessories,1672,1239.712612,432.29,2024,Jan,1
12/04/2024,North,Laptop,Bob,2,836,Electronics,1672,1272.418064,399.58,2024,Apr,4
22/03/2024,South,Laptop,Frank,1,1673,Electronics,1673,1034.577001,638.42,2024,Mar,3
2/03/2024,West,Laptop,David,14,120,Electronics,1680,1124.472625,555.53,2024,Mar,3
29/01/2024,North,Tablet,Eva,15,112,Electronics,1680,1206.091548,473.91,2024,Jan,1
28/12/2024,South,Monitor,Charlie,1,1684,Office,1684,1339.362218,344.64,2024,Dec,12
12/01/2024,East,Camera,Charlie,2,842,Electronics,1684,1064.201939,619.80,2024,Jan,1
18/11/2024,East,Monitor,Grace,2,843,Office,1686,1342.106253,343.89,2024,Nov,11
25/09/2024,East,Mobile,Charlie,1,1687,Electronics,1687,1347.243041,339.76,2024,Sep,9
8/04/2024,South,Smartwatch,Alice,6,282,Accessories,1692,1248.412511,443.59,2024,Apr,4
30/08/2024,South,Printer,Hannah,2,848,Office,1696,1166.672568,529.33,2024,Aug,8
9/02/2024,West,Camera,Charlie,1,1716,Electronics,1716,1482.818968,233.18,2024,Feb,2
24/11/2024,South,Smartwatch,Grace,2,862,Accessories,1724,1437.85424,286.15,2024,Nov,11
12/08/2024,West,Monitor,Bob,9,192,Office,1728,1221.742662,506.26,2024,Aug,8
8/05/2024,East,Printer,Charlie,8,217,Office,1736,1314.172214,421.83,2024,May,5
3/09/2024,West,Mobile,Grace,5,348,Electronics,1740,1070.534651,669.47,2024,Sep,9
27/04/2024,North,Printer,Hannah,3,581,Office,1743,1072.88676,670.11,2024,Apr,4
21/06/2024,East,Laptop,Bob,1,1758,Electronics,1758,1368.96875,389.03,2024,Jun,6
29/10/2024,West,Headphones,Alice,1,1763,Accessories,1763,1467.621231,295.38,2024,Oct,10
10/02/2024,South,Headphones,Charlie,8,222,Accessories,1776,1099.541013,676.46,2024,Feb,2
27/07/2024,East,Camera,David,8,222,Electronics,1776,1403.882203,372.12,2024,Jul,7
8/01/2024,West,Monitor,Charlie,8,225,Office,1800,1467.02335,332.98,2024,Jan,1
27/03/2024,East,Printer,Eva,16,113,Office,1808,1358.483109,449.52,2024,Mar,3
11/06/2024,East,Camera,Alice,4,452,Electronics,1808,1257.897329,550.10,2024,Jun,6
30/12/2024,West,Mobile,Bob,10,182,Electronics,1820,1430.116077,389.88,2024,Dec,12
15/12/2024,South,Monitor,Grace,4,455,Office,1820,1399.699163,420.30,2024,Dec,12
10/12/2024,West,Camera,Grace,3,609,Electronics,1827,1436.713568,390.29,2024,Dec,12
8/04/2024,East,Monitor,Bob,1,1828,Office,1828,1314.890304,513.11,2024,Apr,4
12/02/2024,East,Camera,Frank,1,1829,Electronics,1829,1405.755814,423.24,2024,Feb,2
7/08/2024,North,Headphones,,5,366,Accessories,1830,1542.872547,287.13,2024,Aug,8
22/08/2024,North,Smartwatch,Bob,4,458,Accessories,1832,1216.087899,615.91,2024,Aug,8
20/02/2024,North,Monitor,Grace,2,918,Office,1836,1365.728674,470.27,2024,Feb,2
8/02/2024,West,Monitor,Bob,1,1838,Office,1838,1351.402375,486.60,2024,Feb,2
7/04/2024,North,,David,2,922,Electronics,1844,1145.787894,698.21,2024,Apr,4
25/07/2024,North,Mobile,Bob,5,369,Electronics,1845,1126.480434,718.52,2024,Jul,7
25/11/2024,South,Tablet,,2,926,Electronics,1852,1326.030828,525.97,2024,Nov,11
8/10/2024,South,Laptop,Alice,12,155,Electronics,1860,1136.528216,723.47,2024,Oct,10
8/06/2024,South,Printer,Hannah,5,373,Office,1865,1219.427244,645.57,2024,Jun,6
5/07/2024,East,Camera,Frank,1,1875,Electronics,1875,1681.621758,193.38,2024,Jul,7
8/07/2024,North,Headphones,David,1,1880,Accessories,1880,1178.112238,701.89,2024,Jul,7
10/11/2024,North,Camera,Eva,2,942,Electronics,1884,1626.17072,257.83,2024,Nov,11
7/12/2024,East,Monitor,Alice,8,236,Office,1888,1269.971159,618.03,2024,Dec,12
9/08/2024,South,Tablet,Charlie,2,948,Electronics,1896,1246.815161,649.18,2024,Aug,8
25/04/2024,East,Tablet,Frank,2,949,Electronics,1898,1315.885002,582.11,2024,Apr,4
22/02/2024,South,Laptop,Grace,1,1902,Electronics,1902,1488.313244,413.69,2024,Feb,2
21/10/2024,West,Smartwatch,Frank,2,951,Accessories,1902,1389.40486,512.60,2024,Oct,10
13/04/2024,South,Camera,Frank,7,272,Electronics,1904,1589.457064,314.54,2024,Apr,4
3/10/2024,East,Monitor,Hannah,8,238,Office,1904,1517.678906,386.32,2024,Oct,10
19/10/2024,North,,Charlie,16,119,Accessories,1904,1660.747451,243.25,2024,Oct,10
16/05/2024,North,Camera,Eva,4,481,Electronics,1924,1362.965113,561.03,2024,May,5
1/01/2024,East,Monitor,Hannah,2,965,Office,1930,1239.84592,690.15,2024,Jan,1
5/02/2024,South,Camera,Hannah,12,161,Electronics,1932,1693.136272,238.86,2024,Feb,2
21/04/2024,South,Printer,Hannah,3,645,Office,1935,1574.029133,360.97,2024,Apr,4
11/10/2024,West,,Hannah,1,1943,Office,1943,1667.700761,275.30,2024,Oct,10
7/04/2024,East,Tablet,Bob,12,162,Electronics,1944,1379.017316,564.98,2024,Apr,4
2/07/2024,North,Camera,Bob,4,486,Electronics,1944,1230.531488,713.47,2024,Jul,7
7/11/2024,South,Monitor,Grace,3,648,Office,1944,1702.533553,241.47,2024,Nov,11
20/11/2024,West,Tablet,Frank,2,973,Electronics,1946,1472.755765,473.24,2024,Nov,11
31/05/2024,South,Smartwatch,Charlie,2,977,Accessories,1954,1698.492899,255.51,2024,May,5
11/11/2024,West,Camera,Hannah,1,1955,Electronics,1955,1197.595391,757.40,2024,Nov,11
13/09/2024,South,Laptop,Alice,4,489,Electronics,1956,1549.663911,406.34,2024,Sep,9
1/07/2024,West,Camera,Alice,4,491,Electronics,1964,1709.049602,254.95,2024,Jul,7
10/07/2024,North,Mobile,Alice,2,986,Electronics,1972,1645.502628,326.50,2024,Jul,7
20/06/2024,South,Smartwatch,David,3,659,Accessories,1977,1579.439201,397.56,2024,Jun,6
11/02/2024,North,Tablet,David,2,989,Electronics,1978,1601.993922,376.01,2024,Feb,2
9/08/2024,West,Camera,,4,495,Electronics,1980,1495.324884,484.68,2024,Aug,8
26/05/2024,East,Tablet,Frank,6,332,Electronics,1992,1566.566197,425.43,2024,May,5
10/07/2024,North,Headphones,Hannah,1,1994,Accessories,1994,1330.510876,663.49,2024,Jul,7
24/08/2024,West,Printer,Alice,2,999,Office,1998,1211.96916,786.03,2024,Aug,8
22/02/2024,South,Smartwatch,Hannah,6,333,Accessories,1998,1785.630198,212.37,2024,Feb,2
11/02/2024,East,,Charlie,4,500,Office,2000,1496.392359,503.61,2024,Feb,2
